Model Name,Rating,ROM,Display (cm),Chip Processor,Number of Ratings,Number of Reviews,Price(₹)
"APPLE iPhone 11 (Black, 128 GB)",4.6,128,15.49,A13,200360,11406.0,40999
"APPLE iPhone 11 (White, 128 GB)",4.6,128,15.49,A13,200360,11406.0,40999
"APPLE iPhone 13 (Midnight, 128 GB)",4.7,128,15.49,A15,255205,12592.0,56999
"APPLE iPhone 13 (Green, 128 GB)",4.7,128,15.49,A15,255205,12592.0,56999
"APPLE iPhone 11 (Black, 64 GB)",4.6,64,15.49,A13,200360,11406.0,37999
"APPLE iPhone 11 (White, 64 GB)",4.6,64,15.49,A13,200360,11406.0,37999
"APPLE iPhone 14 (Midnight, 128 GB)",4.6,128,15.49,A15,48180,1833.0,67999
"APPLE iPhone 13 (Pink, 128 GB)",4.7,128,15.49,A15,255205,12592.0,56999
"APPLE iPhone 13 (Starlight, 128 GB)",4.7,128,15.49,A15,255205,12592.0,56999
"APPLE iPhone 13 (Blue, 128 GB)",4.7,128,15.49,A15,255205,12592.0,56999
"APPLE iPhone 14 (Purple, 128 GB)",4.6,128,15.49,A15,48180,1833.0,67999
"APPLE iPhone 14 (Starlight, 128 GB)",4.6,128,15.49,A15,48180,1833.0,67999
"APPLE iPhone 14 (Blue, 128 GB)",4.6,128,15.49,A15,48180,1833.0,67999
"APPLE iPhone SE 3rd Gen (Product (Red), 256 GB)",4.4,256,11.94,A15,900,,46599
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)",4.7,128,15.49,A15,255205,12592.0,56999
"APPLE iPhone 14 Plus (Starlight, 128 GB)",4.6,128,17.02,A15,15369,929.0,76999
"APPLE iPhone 14 Plus (Midnight, 128 GB)",4.6,128,17.02,A15,15369,929.0,76999
"APPLE iPhone SE 3rd Gen (Product (Red), 64 GB)",4.4,64,11.94,A15,900,,49900
"APPLE iPhone 14 Plus (Blue, 128 GB)",4.6,128,17.02,A15,15369,929.0,76999
"APPLE iPhone 14 Plus (Purple, 128 GB)",4.6,128,17.02,A15,15369,929.0,76999
"APPLE iPhone SE 3rd Gen (Starlight, 64 GB)",4.4,64,11.94,A15,900,,49900
"APPLE iPhone 13 (Starlight, 256 GB)",4.7,256,15.49,A15,255205,12592.0,65999
"APPLE iPhone 12 (Green, 64 GB)",4.6,64,15.49,A14,190638,12876.0,49999
"APPLE iPhone 12 (White, 64 GB)",4.6,64,15.49,A14,190638,12876.0,49999
